Serbian,English
kroz,through the
posle,after
nećeš,you will not
dobra,good
zaista,really
hteo,wanted
vrata,the door
brzo,quickly
tko,who
njim,him
moju,my
pogledaj,take a look at
siguran,sure
dođi,come over
neke,some
nekoliko,a few
par,Couple
noć,night
dugo,long
verujem,I believe
pod,floor
jednu,one
loše,Bad
previše,too much
naš,our
ovog,this
večeras,tonight
mislila,thought
на,on the
trebao,needed
mog,my
ovako,like this
izvinite,Sorry
vaš,yours
ćete,will
gore,above
ovu,this
isto,the same
pravo,right
nakon,after
teško,hard
mogli,could
svaki,every
nama,to us
prvo,first
nadam,I hope
protiv,against
super,super
čuo,heard
mali,little
jedno,one
vama,to you
prije,before
kasnije,later
niste,you are not
minuta,minute
biće,will be
l,l
unutra,inside
pravi,the real
sto,a table
шта,what
znamo,I know about
dešava,happens
momci,the boys
majka,mother
ovom,this M
osim,except
imala,had
ubio,killed
sta,what
jednog,one
tom,tom
ćao,bye
sviđa,like
pomoć,help
ideš,are you going
dve,two
mislite,think
kuće,houses
imaju,have got
pusti,let go
preko,across
ти,you
doći,come
vaše,yours
naše,ours
želite,you want
one,Oh no
verovatno,probably
dakle,so
istina,the truth
veliki,a large
ljude,humans
čoveče,man
hoće,will
dogodilo,happened
jel,is it
kakav,what kind of
за,For
budeš,you'll be
njegov,his
ми,we
tačno,exactly
naći,find
budi,be
misli,he thinks
razumem,I understand
zove,calling
auto,car
imali,is there
čini,it makes
uvijek,always
dolazi,it's coming
radio,radio
ići,go
dete,a child
rekli,told
onaj,that
ли,li
deo,a part of
broj,Number
nju,her
otišao,went away
tog,that
ruke,arms
dole,down
imati,have
uz,with
pet,five
zapravo,actually
vezi,touch
ја,me
sebi,self
života,of life
mrtav,dead
priča,story
veze,connections
nekog,someone
bismo,we would
vrati,return back
си,you
svog,its
dao,given
ipak,yet
bar,Bar
novi,the new
videla,saw
drugo,other
posla,work
ovim,by this
tip,type
svojim,with its own
prijatelj,a friend
vrijeme,time
vidite,you see
dobio,obtained
stani,stop
vaša,yours
prestani,stop it
iza,and for
sama,alone
žene,wives
znala,knew
tvoju,yours
odlično,perfect
skoro,nearly
sin,son
njima,to them
govori,speak
vratiti,return
pitanje,Question
nazad,back
voli,loves
uzmi,take it
došli,come
srce,heart
važno,important
dolara,dollars
njom,her
mom,my
njemu,to him
pitam,Asking
morate,you must
takođe,Too
radimo,we work
voleo,loved
ce,will
jutro,morning
najbolje,the best
problema,trouble
oca,father
uskoro,Soon
sjajno,great
са,with
nekoga,someone
jednostavno,simply
gotovo,done
су,are
čega,what
trenutak,a moment
potpuno,completely
drži,holding
sigurna,safe
tada,then
ovoga,this
uopšte,at all
dobiti,get
briga,Concern
otići,to go away
njegova,his
brini,worry
ranije,earlier
ju,Yikes
stalno,permanently
došla,came
bog,god
našao,found
ponekad,sometimes
kakva,what
strane,sides
ljubav,love
moći,be able to
htela,Hate
sati,hours
naša,our
nemaš,you do not have
kuću,house
tek,only just
osećam,I feel
valjda,I guess
noći,nights
halo,halo
želeo,wanted
spreman,ready
životu,life
poput,like
lako,lightly
pričaš,you are talking
devojka,girl
između,between
uradim,do
morao,had to
trebali,should you
jedini,the only one
али,but
ideja,Idea
trebala,needed
ženu,woman
znati,to know
ozbiljno,seriously
čudno,odd
uh,uh
nećemo,We will not
druge,others
pola,half
sat,a clock
prijatelji,friends
videti,to see
glavu,head
pretpostavljam,I suppose
čoveka,man
hoćete,Wants you
ubiti,kill
svet,the world
prava,rights
zvuči,it sounds
oči,eyes
živi,living
grad,city
mala,small
pored,next to
dr,dr
radite,work
draga,darling
pred,before
rade,working
tvog,yours
kraj,the end
velika,a big
biste,would you
jasno,clearly
slučaj,the case
ovoj,this
svih,of all
gledaj,Watch
kažu,they say
kola,car
najbolji,the best
događa,going on
voliš,you love
brat,brother
pazi,watch out
svetu,to the world
slučaju,case
ikada,ever
sata,clock
oprosti,sorry
mojoj,mine
stari,old
e,e
ljudima,to people
nemamo,we do not have
osoba,a person
čujem,I hear
polako,slowly
ruku,hand
negde,somewhere
učiniti,do
dvoje,two
blizu,close to
kraju,end
četiri,four
odakle,from where
prilično,pretty much
nedelje,weekly
vratio,returned
van,out
није,it's not
uradi,do
svega,everything
што,a table
ceo,entire
moguće,possible
znaju,know
svom,to its
dati,give
laku,easy
lice,the face
smrt,death
gospođo,ma'am
moji,mine
izgledaš,you look
videli,saw
neku,some
vodi,lead
raditi,to do
plan,Plan
policija,Police
smrti,death
sina,son
pojma,concept
šanse,chances
sobu,room
no,but
manje,less
nje,her
brod,ship
daleko,far
novca,money
žele,they want
netko,someone
gospodo,gentlemen
ostati,stay
vidjeti,see
sinoć,last night
oprostite,sorry
svima,to all
reč,Word
само,only
momak,guy
од,from the
čula,senses
našli,found
pitanja,questions
važi,valid
bile,there were
mojim,mine
drugog,another
razlog,reason
dečko,boyfriend
га,him
vidio,saw
napolje,outside
potrebno,necessary
oružje,weapon
njen,her
pomognem,I'm helping
dragi,sweetheart
šest,six
ово,this
sobi,room
dođe,come
а,a
istinu,truth
nemojte,don't
uradila,did
otišla,went
pištolj,gun
ispod,under
čim,as soon as
mesta,places
izgubio,Lost
napravio,made
nekako,somehow
devojke,girls
vode,water
kome,to whom
pošto,since
sećaš,you remember
uraditi,to do
prijatelja,friend
umro,died
о,about
jesu,they did
sastanak,a meeting
moglo,could
njoj,to her
njegove,his
trebam,I need
ме,me
zovem,calling
aha,Yup
pričam,I'm talking
ljubavi,love
odem,go
ispred,in front of
telo,Body
divno,wonderful
tražim,I'm looking for
jedino,only
piće,a drink
deca,children
sedi,have a seat
zaboravi,forget
veče,the evening
ikad,and when
dođavola,damn
govoriš,you are talking
iako,and if
gradu,town
govorim,I speak
dajte,give
decu,children
srećan,happy
ostavi,leave it
učinio,did
krv,blood
recite,say
mrzim,I hate
spremni,ready
те,you
poruku,message
uzeo,taken
san,dream
nekim,someone
би,would be
telefon,phone
razgovarati,to talk
igra,a game
mestu,place
uradiš,you do
sestra,sister
sine,sine
zvao,called
kuća,a house
ha,ha
kažete,you say
tvom,your
ovih,these
pokušavam,I'm trying
ostani,stay
ovome,to this
oboje,both of you
volela,loved
ovi,these
kapetane,Captain
takav,such a
rat,war
sva,all
sećam,recall
poslednji,the last
sami,alone and
pogledajte,look
želimo,we want
muž,husband
deset,ten
bojim,afraid
onog,that
како,How
svako,everyone
reči,to tell
zemlji,country
putu,road
bit,bit
добро,Okay
смо,we are
vratim,back
njegovo,his
razumeš,you understand
pitao,asked
film,Movie
traži,Search
budu,be
porodica,the family
brate,bro
ostavio,left behind
budemo,be
isti,the same
cu,cu
morati,have to
kakve,what
svakog,every
svojoj,to his
jedina,the only one
doktor,doctor
čuješ,you hear
dame,ladies
bok,hi
razloga,reasons
svim,all
zemlju,ground
smiri,calm down
eto,there
druga,the other one
hajdemo,let's go
ostali,the others
pokušao,tried
prva,first
isuse,Jesus
našu,ours
miru,mu
odeš,you leave
napred,forward
ако,if
pitanju,question
као,like
postoje,since
drugu,other
tražio,He asked
drugom,to another
poslu,work
htio,wanted
све,all
otvori,open
boli,it hurts
čeka,waits
vašu,yours
doktore,doctor
ah,ah
napraviti,make
krevet,bed
gdine,sir
našeg,ours
ће,will
ostalo,other
nitko,nobody
dobre,good
nikoga,nobody
čovjek,man
lepa,pretty
njegovu,his
nastavi,go on
овде,here
lud,crazy
kim,kim
večeru,dinner
сте,you are
gđo,ma'am
konačno,finally
uzeti,Take
sveta,Saint
kraja,end
obično,Usually
znali,knew
tvojim,yours
jutros,this morning
spremna,ready
jedva,scarcely
boga,god
smešno,funny
koristi,benefit
školu,school
poziv,call
tih,quiet
piše,writes
svakom,to each
krvi,blood
poslao,sent
brata,brother
zanima,interested
mjesto,place
živ,alive
dali,whether
brže,faster
kojoj,whom
očigledno,obvious
počeo,started
posebno,especially
priču,story
svakako,surely
niti,nor
odgovor,the answer
hoćemo,we will
gospodin,Mister
тако,so
zaboravio,forgot
idite,go
shvatio,He realized
pomozi,help
nova,new
zemlje,countries
strašno,terrible
sledeći,next
trebaš,you need
dolazim,I am coming
meseci,months
grada,city
ode,he goes
među,among
lijepo,nice
barem,at least
želela,wanted
savršeno,perfect
он,he
druže,huddle
stan,apartment
čuli,heard
mrtva,dead
kriv,guilty
devojku,girl
noge,legs
dobila,received
biću,I will be
vašeg,your
dobri,good
jebi,fuck
sreće,happiness
vesti,News
nećete,you won't
sasvim,with everything
dala,gave
nosi,is wearing
oče,father
red,row
prošle,last
pronaći,find
uradimo,we do
roditelji,parents
godinu,year
slušajte,listen up
tokom,during
nekad,sometime
dobili,get
time,time
velike,large
kasno,late
misle,they think
ka,toward
prošlo,past
k,k
majku,mother
prijatelju,mate
iskreno,sincerely
bolji,better
trenutno,currently
zbogom,goodbye
često,Often
inače,otherwise
toj,that
kuda,where to
ubistvo,murder
nađem,find
živim,I live
ubica,killer
zabavno,fun
odlazi,Go away
gledam,I'm looking
uradili,have done
porodicu,family
izlazi,out
našla,found
sobom,room
postao,became
jebeni,fucking
stigao,arrived
godinama,for years
kojeg,which
tvojoj,to yours
đavola,devil
celu,forehead
dolaze,are coming
mojih,mine
moraju,they must
priliku,opportunity
morala,moral
pravila,rules
požuri,hurry up
jesmo,we are
nemoguće,not possible
umesto,instead of
školi,school
idu,are going
napolju,in the field
drugačije,otherwise
sigurni,safe
društvo,society
stavi,what you
meseca,moon
jebeno,fucking
strani,foreign
vrsta,Species
nove,new
potrebna,necessary
bitno,important
shvatam,I understand
okej,Okay
sedam,seven
kunem,I swear
neverovatno,incredibly
ubije,kill
loš,bad
miliona,million
juče,yesterday
radila,worked
slike,Pictures
poznajem,I know
знам,I know
pustite,let
могу,I can
vodu,water
tiče,concerns
zoveš,you call
policiju,police
pare,steam
veruješ,you believe
otišli,left
hranu,food
glavni,major
па,well
trebaju,need
odemo,we go
vraćam,im back
био,was
potreban,required
bogu,god
nađemo,let's find
tipa,type
čekam,I'm waiting
obećavam,I promise
šteta,a pity
čekajte,wait
radili,does it work
ajde,come on
veliku,large
kojim,by which
kralj,King
tvoji,yours
pogrešno,wrong
kaži,say it
stara,old
kojima,whom
gđice,Miss
osećaj,Feeling
реду,order
glas,the voice
napad,attack
pričao,story about
sačekaj,hold on
drugim,other
zatvoru,imprisonment
pokušaj,try
dom,home
sem,except
novu,new
zauvek,forever
nekom,some
završio,finished
vole,they like
desi,where are you
usta,mouth
zatvor,prison
priče,stories
razgovaramo,We're talking
smisla,sense
pismo,the letter
dece,children
ideju,ideas
lično,personally
sliku,picture
umrla,died
znak,sign
soba,a room
razgovor,conversation
pričamo,We are talking
onih,those
čovječe,man
mesec,month
smeta,bothering you
seks,sex
greška,error
нисам,I'm not
pas,the dog
osećaš,you feel
trebamo,we need
veruj,believe it
mislili,thought
prokletstvo,damn
kakvo,what
zemlja,country
poklon,a gift
njena,her
rođendan,birthday
glave,heads
nemate,you are not here
um,the mind
vratimo,let's get back
šef,boss
šefe,boss
svuda,everywhere
dam,damn
počinje,getting started
uredu,OK
onoga,of what
porodice,families
izvoli,Here you go
rukama,arms
зашто,why
imena,Names
točno,exactly
drugih,others
gledaš,you are looking
jedne,one
upoznao,met
rad,Work
the,The
natrag,back
kupio,bought
džek,jack
leđa,back
jos,still
dvije,two
dio,part
čast,honor
dijete,child
d,d
razgovaram,I'm talking
osam,eight
ostaviti,leave
kladim,bet
nesto,something
kog,kog
takve,such
zasto,why
iznad,above
prevod,translation
onu,that
slika,the painting
uspeo,succeeded
svaka,every
било,there were
nestao,disappeared
zovi,call
išao,gone
pogled,view
stigli,arrive
vide,see
novo,new
muškarac,man
lep,nice
pažnju,attention
ujutro,in the morning
dođite,come
izbora,election
dokaz,proof
naši,ours
knjigu,book
kapetan,captain
njegovog,his
trenutku,moment
stranu,side
nedostaje,not sufficient
škole,schools
veliko,large
zvala,called
muža,husband
mozak,the brain
minut,minute
poslednje,last
policajac,police officer
vratila,brought back
idete,you go
uslugu,service
dobijem,get
beba,baby
izvolite,here you go
uđi,come in
ovuda,this way
okolo,around
svake,each
daje,that
umreti,die
још,still
nekada,sometimes
luda,crazy
pivo,a beer
izbor,the choice
glavi,head
zatim,then
gledao,watched
zovu,call
sav,all
beži,run away
tražiš,you are looking for
srca,broken glass
učini,do
pomogne,help
бити,to be
stalo,care about
takva,such
gubi,losing
нешто,something
где,where
slobodno,free
glupo,stupid
našim,ours
kafu,coffee
ubili,killed
izgubili,lose
radije,would prefer
ključ,key
moć,power
govorio,speaking of
najviše,the most
voda,water
budete,be
sistem,the system
gospođice,Miss
deda,grandpa
zadnji,last
čestitam,congratulations
ubila,killed
nedelju,Sunday
вас,yours
loša,bad
nemaju,do not have
javi,I you
bravo,well done
recimo,let's say
njegovom,by his
budite,be
božić,Christmas
vratiš,you will return
који,which one
pričaj,talk
užasno,terrible
stanju,condition
srećna,happy
ulazi,inputs
pokušava,tries
jebote,fuck
avion,a plane
hteli,wanted
dupe,ass
definitivno,Definitely
sledeće,the following
dvojica,two
njihove,their
tela,bodies
ubijen,killed
ujutru,in the morning
najbolja,best
vašem,yours
svojih,its
ubistva,murders
njihov,their own
sekundi,seconds
završi,end
pomislio,thought
probleme,Problems
apsolutno,absolutely
zakon,the law
zabavu,amusement
našem,our
prijatelje,friends
prošli,went through
spusti,put down
budućnost,the future
ručak,lunch
lakše,lighter
majke,mothers
svemu,everything
šansu,chance
pričati,to speak
kurac,dick
æe,will
knjige,books
ћу,I will
pronašao,found
vjerujem,I believe
ostane,remain
pitaš,you ask
informacije,info
žive,live
pokaži,show
otkud,how come
znas,You know
postaje,become
naših,ours
сада,now
vjerojatno,Probably
ustvari,actually
mamu,momma
odvesti,take to
она,she
morali,morals
upoznali,met
izaći,go out
pronašli,found
svojom,with its own
vratite,return
htjela,wanted
opusti,relax
nalazi,results
njene,her
jack,Jack
primer,example
nikome,nobody
bebu,baby
mrtvi,dead
male,small
ostavila,left
obzira,regardless
pozvao,invited
potrebe,needs
psa,dog
glava,head
bol,the pain
odjednom,At once
stavio,put
većina,the majority
slažem,agree
onim,that
pustiti,let go
kul,cool
malu,small
dogovor,agreement
vezu,link
nad,over the
tražimo,we are looking for
pomalo,a little bit
tvojih,yours
мислим,I think
ulici,street
tv,TV
ostale,other
rata,rate
stoji,stand
kreni,start
hrane,food
pun,full
počela,began
večeri,evenings
bolnici,hospital
prati,wash
čuti,do not speak
desiti,Happened
agent,agent
vidjela,saw
prave,right
ludo,crazy
karte,tickets
umukni,shut up
duh,ghost
или,or
pitati,to ask
račun,bill
ostao,remained
хвала,thanks
prosto,simply
početak,the start
gledati,watch
de,de
sunce,Sun
živiš,you live
vjerovati,to trust
ionako,anyways
sranja,shit
razumijem,I understand
ostatak,Rest
svaku,each
stvarima,things
svoja,mate
postati,to become
ostavite,leave
из,from
knjiga,a book
našoj,our
došlo,has come
zadovoljstvo,pleasure
naučio,learned
jaja,eggs
poslije,afterwards
napravila,made
треба,should
onako,like that
umre,die
gluposti,stupidity
čarli,Charlie
korak,step
eno,eno
izvinjavam,I apologize
gleda,looks
jest,it is
slučajno,by accident
bićeš,you'll be
srećno,Good luck
pada,"well, yes"
duboko,deep
sobe,rooms
ej,Hey
ista,and what
baci,throw
igru,game
spava,he sleeps
odgovara,fit
nogu,leg
slobodan,free
hladno,cold
dolje,down
doneo,brought
pao,fell down
krevetu,bed
išta,and what
pitaj,ask
prozor,window
dođem,come over
vise,more
završiti,end
nedelja,week
poznaješ,you know
до,to the
kolima,by car
njeno,her
ukrao,stolen
napisao,wrote
momka,guy
skroz,completely
šališ,kidding
ćerka,daughter
mlada,bride
nikakve,no
nekih,some
gotov,over
odlučio,decided
putem,through
uzmem,I take
ženom,to the woman
dođeš,you come
izgubila,lost
bolnicu,hospital
majko,mother
prokleti,damn
gospode,Lord
govore,tell
lica,faces
ženi,woman
sjajan,brilliant
vozi,drive
ostanem,remain
pažljivo,carefully
skloni,prone
ко,who
dozvoliti,permit
džo,Joe
novog,new
ser,ser
cemo,we will
verovati,trust
prestati,cease
razmišljao,thought about
pitala,asked
iznenađenje,surprise
svejedno,no preference
sretan,happy
nece,will not
pokazati,to show
brine,worry
vec,already
sir,cheese
opasno,dangerously
otkad,since
oduvek,Since forever
их,them
prošao,passed
daću,I'll give
želio,wanted
izašao,went out
ušao,got in
donesi,bring
traže,they are looking for
poslednja,last
kakvu,what
prekini,stop
čudo,miracle
ubijem,I kill
početi,begin
има,has
mir,peace
niz,string
napravi,make it
tajna,the secret
doktora,doctor
stanite,stand
čime,what
frenk,Frank
pomaže,help
liči,lychee
osjećam,i feel
mišljenje,opinion
brinem,I'm worried
km,km
džon,John
žrtva,victim
pri,at
fbi,FBI
више,more
с,s
sreću,happiness
dobru,good
para,pair
можда,Maybe
budala,fool
suviše,too much
meri,Mary
krenuo,headed for
dečak,a boy
хајде,come on
uglavnom,mostly
njihova,their
doba,age
konja,horses
mnogi,many
al,al
veza,the relationship
zadatak,assignment
мој,my
nigde,nowhere
ući,get in
gospodaru,my Lord
brak,marriage
izvući,pull out
duže,longer
saznati,find out
dogoditi,happen
auta,car
očima,eyes
nosim,I am wearing
sestre,sisters
vašim,yours
držite,hold
mozda,Maybe
fino,fine
zaboga,God's sake
muškarci,men
sedite,sit
živa,alive
normalno,normally
blizini,nearby
када,when
glup,stupid
čaj,tea
new,new
jezik,Language
trag,a clue
doveo,brought
cijeli,entire
pomogao,helped
rekoh,I said
онда,then
zanimljivo,interesting
m,m
nazvao,called
kojem,whom
udario,struck
stići,arrive
test,test
znaci,signs
pametan,smart
pričali,talked
odličan,excellent
divan,divan
bre,hello
opasnosti,hazards
rano,early
prijateljica,friend
uzela,picked up
zaboravila,forgot
nestala,disappeared
зар,do you
sestru,sister
mada,even though
glupa,stupid
ви,You
uzmite,take
strah,Fear
vodim,lodge
onom,that
počeli,began
hotel,Hotel
slušam,listen to
hrana,food
h,h
čuvaj,keep
probudi,wake up
zaboraviti,to forget
shvataš,you get it
nikako,by no means
pokažem,I show
svu,all
izgubiti,to lose
cipele,Shoes
dobrodošli,welcome
volio,loved
кад,when
proći,go by
obitelj,family
zabava,fun
uđite,come in
zvati,call
mojom,mine
zaustaviti,stop
kosu,Who are
smem,laugh
вам,you
uopće,at all
njenu,her
tražila,search
igraš,you play
dozvoli,permit
spavam,I'm sleeping
upoznala,met
klub,club
рекао,said
majk,Mike
idiot,idiot
ubiješ,you kill
mirno,quiet
pokušala,tried
probaj,try
cela,the whole
нас,our
davno,long time ago
doviđenja,bye
don,Don
stiže,arrive
brineš,you worry
devet,nine
ozbiljan,serious
advokat,a lawyer
obojica,Both
poslati,to send
životinje,the animals
vlada,Government
sumnjam,I doubt
završili,finished
napravili,made
platiti,to pay
deluje,seems
bolestan,ill
ostaneš,you stay
gledajte,watch
prsten,ring
izgledam,I look
obećao,promised
odlazim,I'm leaving
pobegao,escaped
nastavite,go on
ocu,father
čisto,clean
čekati,wait
знаш,You know
žrtve,victims
nažalost,Unfortunately
dajem,I give
nos,nose
тамо,there
pomozite,help
lik,character
dovraga,hell
pripada,belongs to
dopada,like
slično,Similarly
mladi,young
pita,pie
бих,should
lagao,lied
pomogneš,help
vani,out there
razmišljam,I'm thinking
plašim,I fear
trudna,pregnant
narod,peoples
nevolji,distress
brodu,ship
izvan,outside
težak,tough
stigla,arrived
također,too
ljut,pissed
nista,nothing
prilika,opportunity
razgovarao,spoke
sreća,happiness
nosiš,wear
odmor,holiday
pogledam,I look
ostala,rest
vratili,returned
desno,right
trebati,to need
pokušati,give it a try
rado,gladly
zvezda,star
zavisi,depends
hiljada,one thousand
držim,I'm holding
seksi,sexy
metara,meters
govorite,you speak
učinila,did
prvog,first
dogodi,happen
njenog,her
svetlo,light
ostaje,remains
govoriti,Speak
vidjeli,see
sud,the court
zvali,called
vašoj,yours
srediti,arrange
mislimo,we think
dečki,guys
pokušavaš,you are trying
očito,obviously
saznao,found out
prekasno,too late
iste,the same
veći,bigger
ben,Ben
njegovim,by his
razgovarali,talked
živeli,lived
ништа,nothing
vazduh,air
odatle,from there
zaustavi,stop
vraća,coming back
john,John
divna,wonderful
jeli,whether
snage,forces
šala,a joke
shvatila,realized
mark,Mark
boje,colors
obe,both
tražite,you're looking for
sjajna,great
slatko,sweet
brinite,worry
мене,me
gđa,Mrs.
gladan,hungry
poruka,message
tajne,secrets
doma,home
razmisli,think
pol,gender
program,the program
klinac,kid
gosp,Mr.
nož,knife
nazvati,call
jebem,fuck
stare,old
nikog,nobody
vredi,it's worth
ples,dance
njegovoj,to his
obzirom,considering
dama,lady
zlato,gold
najmanje,leastwise
spavao,slept
usput,along the way
мало,a bit
šansa,a chance
la,La
нема,does not have
kamo,where
pakao,hell
postala,became
tišina,silence
ukoliko,if
trebaće,will need
tražili,searched
novine,newspaper
uzeli,pick up
čuje,hears
porodici,family
vau,wow
uspeli,succeed
glupi,stupid
misliti,think
izgledaju,look
izveštaj,the report
samnom,with me
upomoć,help
kontrolu,control
predsednik,President
vikend,the weekend
pristup,access
uspeti,to succeed
dobije,obtain
ruka,arm
може,can
michael,Michael
telefona,telephone
veruje,believes
zauzet,busy
zbilja,really
zid,Wall
igram,I'm playing
ničega,nothing
igrati,play
grupa,the group
škola,school
charlie,Charlie
kriva,curve
velikog,big
dokaze,evidence
platio,paid
držati,hold
prošlost,the past
napada,attack
poručniče,lieutenant
ijudi,people
pravim,I make
let,flight
kupiti,buy
čovjeka,man
nekome,someone
pozovi,call
му,mu
prestanite,stop
sme,SME
krenemo,let's go
gle,behold
tajnu,secret
dela,deeds
riječ,word
igre,games
ostanite,stay
you,you
dozvolu,permit
pričala,talked
završim,am done
drugoj,other
brinuti,worry
frank,Frank
cilj,the goal
daš,give
more,the sea
zatvori,close
ugovor,contract
devojčica,girl
otkrio,discovered
spavanje,sleeping
postane,become
uradite,do
obrada,processing
živimo,we live
metak,bullet
životinja,animal
upoznati,to meet
prijateljima,to friends
spasiti,save
tatu,tatto
sara,sara
njegovi,his
mozes,You can
zvuk,sound
nađeš,you find
zločina,crime
vino,wine
noću,at night
ulice,in your face
stanje,state
pokret,move
savet,advice
putovanje,travel
čujete,you hear
živeo,he lived
doručak,the breakfast
kralja,king
najveći,the biggest
nastaviti,continue
supruga,wife
pazite,watch out for
centar,center
jede,eaten
smeš,laugh
totalno,totally
svo,all
ponovno,re-
muškarca,man
svijet,world
pamet,wit
kojom,which
kom,pcs
хеј,hey
tražiti,search for
voz,train
išla,walked
detektiv,Detective
razumeo,understood
dug,debt
čekamo,we wait
signal,signal
kreten,jerk
gotova,over
zamisli,imagine
moze,can
kasnim,I'm late
nađe,find
henri,Henry
zadnje,last
meso,meat
čuj,hear
dečka,boyfriend
spavaš,you sleep
odgovori,Answers
računa,account
odluka,decision
vaši,yours
tiho,quiet
staviti,put
dokaza,evidence
troje,three
ludi,crazy
kartu,ticket
videćemo,we'll see
jesti,eat
rečeno,told
jednim,by one
očekivao,expected
džone,John
nađi,find
vest,west
otkaz,cancellation
oružja,weapons
pojavio,appeared
nečega,something
udarac,punch
iskren,honest
stanu,dwelling
policije,police
gospođa,Mrs
svijetu,world
čas,lesson
tjedan,week
necu,I will not
milion,million
majci,mother
star,old
istu,same
samog,oneself
dobiješ,you get
jutra,mornings
била,been
odavno,A long time ago
umrem,I die
pesmu,song
završila,finished
taksi,taxi
zao,evil
poslali,sent
popodne,afternoon
lažeš,you're lying
negdje,somewhere
daju,they give
t,t
mami,mami
umire,dies
jebena,fucking
pali,fire away
veće,the evening
kamion,truck
autu,car
prve,first
kažemo,speak
napokon,finally
uveče,in the evening
malog,small
dnk,DNA
motor,engine
velikim,large
молим,please
razumete,you understand
prošla,past
levo,left
jak,strong
poslala,send
umoran,tired
krivica,guilt
igramo,we play
celo,whole
početka,begin
ratu,war
vratiću,I will return
fer,fair
sumnje,doubt
shvatiti,understand
napustio,left
bićemo,we will be
oba,both
trenutka,moment
ubija,kills
bob,bob
nek,let
dušu,soul
volimo,we love
živote,lives
pobrinuti,take care
zabave,fun
kuci,home
имам,I have a
muziku,music
želeli,wanted
riba,a fish
čekaju,they are waiting
zlo,evil
gej,gay
sjećaš,you remember
obožavam,I adore
mjesta,places
proveo,spent
važan,important
